CASE_ID,CHILD_DRIV,AGE,INCOME,HOUSE,VEHICLE,MARRIED,GENDER,DISTANCE,CAR_USE,MVR_PTS,CLAIM_IND,AREA
50,0,47,77186,237989,15626,1,1,63,Commercial,0,0,Highly Urban/ Urban
51,1,61,8488,33761,2640,1,1,71,Private,2,0,Highly Rural/ Rural
52,0,45,560,8019,1108,0,1,59,Commercial,4,1,Highly Urban/ Urban
53,1,46,34157,107661,7499,1,0,108,Private,6,0,Highly Urban/ Urban
54,0,62,69952,219619,14412,0,0,81,Commercial,7,0,Highly Rural/ Rural
55,0,49,133121,404099,27491,0,1,53,Commercial,0,0,Highly Urban/ Urban
56,0,56,64974,195612,13172,1,1,78,Commercial,3,1,Highly Urban/ Urban
57,0,39,54204,165042,11092,0,1,73,Commercial,1,1,Highly Urban/ Urban
58,1,67,43217,131893,9526,1,0,80,Private,0,0,Highly Urban/ Urban
59,0,57,127028,385103,25606,0,0,79,Commercial,2,1,Highly Urban/ Urban
60,3,34,76476,230539,15792,1,0,98,Commercial,0,0,Highly Rural/ Rural
61,0,78,77514,232622,15622,0,1,89,Private,2,0,Highly Urban/ Urban
62,0,66,150912,457243,30934,1,0,66,Private,0,0,Highly Urban/ Urban
63,0,73,89920,279274,18500,1,1,59,Private,4,0,Highly Urban/ Urban
64,0,55,23904,79548,5715,1,1,55,Private,5,1,Highly Urban/ Urban
65,0,62,49297,148764,10474,1,1,69,Private,3,0,Highly Urban/ Urban
66,0,54,65219,201663,13156,1,1,71,Private,3,0,Highly Urban/ Urban
67,0,67,13501,45573,3193,0,1,50,Private,0,0,Highly Rural/ Rural
68,0,49,19509,60208,4855,1,1,69,Private,0,0,Highly Urban/ Urban
69,0,68,51126,159769,10698,0,1,77,Commercial,0,0,Highly Urban/ Urban
70,0,65,74832,232673,15645,1,0,88,Private,2,0,Highly Rural/ Rural
71,0,62,74303,226636,15354,1,0,105,Private,6,0,Highly Urban/ Urban
72,1,46,12614,42228,2598,1,0,73,Commercial,6,1,Highly Urban/ Urban
73,0,42,48744,155161,10016,1,0,95,Commercial,11,0,Highly Urban/ Urban
74,0,56,560,11589,186,0,1,78,Private,0,0,Highly Rural/ Rural
75,0,52,78085,242774,15843,1,0,94,Private,3,0,Highly Urban/ Urban
76,0,47,26795,89522,6238,1,1,74,Private,3,0,Highly Urban/ Urban
77,0,66,48620,154821,10221,1,1,76,Private,12,0,Highly Urban/ Urban
78,0,45,124503,375018,25469,0,0,61,Private,5,0,Highly Urban/ Urban
79,0,36,23019,70676,5454,1,0,69,Commercial,1,0,Highly Urban/ Urban
80,0,40,24131,82063,5576,0,1,80,Commercial,0,0,Highly Urban/ Urban
81,0,63,36191,111567,7608,1,1,84,Private,2,0,Highly Urban/ Urban
82,0,83,55969,175592,11909,1,1,90,Commercial,2,0,Highly Rural/ Rural
83,0,51,49027,149866,10300,0,0,66,Private,2,0,Highly Urban/ Urban
84,0,97,98676,298901,20176,1,1,59,Private,2,0,Highly Urban/ Urban
85,0,52,40173,126579,8940,1,1,93,Commercial,8,0,Highly Urban/ Urban
86,0,47,50740,154695,10320,0,0,97,Private,0,0,Highly Rural/ Rural
87,0,30,34243,104203,7036,1,1,82,Commercial,6,1,Highly Urban/ Urban
88,0,40,61805,189453,12509,0,0,76,Private,0,0,Highly Urban/ Urban
89,0,60,137704,413615,28217,0,0,90,Private,0,1,Highly Urban/ Urban
90,0,46,71273,219490,14302,1,0,100,Private,5,0,Highly Urban/ Urban
91,0,57,24733,80050,5762,0,0,54,Commercial,0,0,Highly Rural/ Rural
92,0,65,116273,351924,23757,0,0,73,Private,0,0,Highly Rural/ Rural
93,0,46,56324,169737,12006,0,1,62,Commercial,5,0,Highly Rural/ Rural
94,0,38,29053,95167,6749,1,0,82,Private,6,0,Highly Urban/ Urban
95,1,55,560,9172,909,1,0,79,Private,2,0,Highly Rural/ Rural
96,1,41,960,10565,517,0,1,81,Private,2,1,Highly Urban/ Urban
97,0,73,25535,82165,6056,1,0,118,Private,2,0,Highly Rural/ Rural
98,0,52,33506,102008,7056,1,1,94,Private,1,0,Highly Urban/ Urban
99,0,80,58772,179433,11955,1,0,82,Private,5,0,Highly Rural/ Rural
100,0,58,73868,223452,14776,0,1,83,Private,4,0,Highly Rural/ Rural
101,0,73,23541,72614,4954,0,0,69,Private,5,1,Highly Urban/ Urban
102,0,72,108368,328289,22207,1,0,90,Commercial,0,0,Highly Urban/ Urban
103,0,74,53319,169708,11004,1,0,86,Private,2,0,Highly Rural/ Rural
104,0,47,60245,187324,12953,1,1,87,Commercial,2,0,Highly Rural/ Rural
105,0,32,91207,283430,18243,1,0,83,Private,2,0,Highly Rural/ Rural
106,0,42,44134,134198,9105,0,1,93,Commercial,2,1,Highly Urban/ Urban
107,0,31,31213,96938,6918,0,0,86,Private,2,1,Highly Urban/ Urban
108,0,44,560,9829,847,0,0,63,Private,2,0,Highly Rural/ Rural
109,1,53,112628,338496,22864,1,0,91,Private,4,1,Highly Urban/ Urban
110,0,51,82859,257948,17181,0,1,70,Private,2,0,Highly Urban/ Urban
111,0,52,98660,297185,20330,0,0,88,Private,2,0,Highly Rural/ Rural
112,0,64,115048,354847,23024,1,0,70,Private,0,0,Highly Urban/ Urban
113,0,64,81581,247306,17232,1,0,72,Private,2,0,Highly Urban/ Urban
114,0,65,94888,292880,19001,1,0,89,Private,2,0,Highly Urban/ Urban
115,0,64,90972,281128,18319,1,1,68,Commercial,2,0,Highly Urban/ Urban
116,0,54,91526,278179,19071,0,0,85,Private,0,0,Highly Urban/ Urban
117,0,51,63407,196472,12955,0,1,84,Commercial,0,0,Highly Urban/ Urban
118,0,66,95334,287277,19174,0,1,88,Commercial,1,0,Highly Urban/ Urban
119,1,47,73317,225392,15484,1,1,85,Commercial,2,0,Highly Urban/ Urban
120,0,45,81678,254423,16584,0,0,74,Private,7,0,Highly Urban/ Urban
121,0,53,19976,67223,4015,0,1,67,Commercial,2,0,Highly Rural/ Rural
122,0,57,960,7569,924,0,0,100,Private,1,0,Highly Rural/ Rural
123,1,73,119942,365736,24418,0,0,71,Commercial,2,1,Highly Urban/ Urban
124,0,32,28141,88443,6363,0,1,83,Commercial,6,0,Highly Rural/ Rural
125,0,28,87147,266613,17995,0,1,126,Private,1,0,Highly Rural/ Rural
126,0,67,43215,136802,9271,0,1,106,Commercial,1,0,Highly Urban/ Urban
127,0,61,93877,290013,18996,0,1,102,Private,0,0,Highly Rural/ Rural
128,0,56,4633,18226,1781,1,1,50,Commercial,2,0,Highly Rural/ Rural
129,1,46,62330,188838,12975,0,1,51,Commercial,4,1,Highly Urban/ Urban
130,1,45,74582,230644,15578,1,0,96,Private,2,0,Highly Urban/ Urban
131,0,46,81216,244137,16349,1,1,54,Commercial,3,0,Highly Urban/ Urban
132,0,64,7054,26977,1920,1,1,73,Commercial,1,0,Highly Urban/ Urban
133,1,42,560,8738,307,1,0,72,Private,1,0,Highly Urban/ Urban
134,2,57,31045,100579,6947,1,1,89,Commercial,5,1,Highly Urban/ Urban
135,0,54,81201,246213,17063,0,0,62,Private,9,0,Highly Urban/ Urban
136,1,54,47100,149385,9714,1,1,74,Commercial,9,1,Highly Urban/ Urban
137,0,63,56233,172504,11910,1,0,88,Commercial,2,0,Highly Urban/ Urban
138,0,32,33277,100444,6734,0,1,113,Private,10,1,Highly Urban/ Urban
139,0,57,59722,181558,12683,0,1,58,Private,0,0,Highly Urban/ Urban
140,0,70,77859,233835,15763,1,1,79,Private,4,0,Highly Urban/ Urban
141,0,41,50000,151895,10957,0,1,64,Commercial,6,0,Highly Rural/ Rural
142,0,55,79552,242071,16105,1,0,87,Commercial,0,0,Highly Urban/ Urban
143,0,59,81065,247420,16882,0,1,74,Private,3,0,Highly Urban/ Urban
144,0,57,62481,187890,12779,1,0,86,Private,10,1,Highly Urban/ Urban
145,0,42,106914,321154,21666,0,1,120,Private,4,1,Highly Urban/ Urban
146,0,46,79235,244652,16779,0,1,78,Commercial,2,0,Highly Urban/ Urban
147,0,78,106322,322774,21440,0,1,50,Private,4,0,Highly Urban/ Urban
148,0,67,62822,198286,13407,1,1,78,Private,2,1,Highly Urban/ Urban
149,0,56,89228,268439,18166,1,0,108,Private,1,1,Highly Urban/ Urban
150,0,53,3217,16755,1228,1,0,108,Private,2,1,Highly Urban/ Urban
151,0,51,560,5892,277,1,0,73,Private,2,0,Highly Urban/ Urban
152,2,56,63454,198537,12982,1,0,129,Private,2,0,Highly Rural/ Rural
153,1,60,69050,211305,14622,0,0,90,Commercial,5,1,Highly Urban/ Urban
154,0,52,25992,79089,5652,0,0,79,Commercial,7,1,Highly Rural/ Rural
155,0,54,1360,8544,1125,1,1,77,Private,2,0,Highly Rural/ Rural
156,0,43,73349,228973,15187,0,0,90,Private,2,0,Highly Urban/ Urban
157,0,58,74802,228332,15498,0,0,70,Commercial,6,1,Highly Urban/ Urban
158,1,52,960,3471,517,0,1,78,Private,3,1,Highly Urban/ Urban
159,0,44,118376,364865,23925,0,0,68,Private,8,0,Highly Urban/ Urban
160,0,61,37855,114828,8449,0,1,73,Commercial,0,0,Highly Rural/ Rural
161,0,54,50784,156651,10246,0,1,61,Commercial,10,0,Highly Urban/ Urban
162,0,51,111317,343662,22555,1,0,95,Private,3,1,Highly Urban/ Urban
163,0,42,45101,143473,9871,1,1,56,Private,4,0,Highly Urban/ Urban
164,0,49,9305,37810,2353,1,1,84,Private,2,0,Highly Rural/ Rural
165,0,39,11446,40852,2315,1,1,78,Private,4,1,Highly Urban/ Urban
166,0,63,34273,111613,7678,1,0,71,Commercial,0,1,Highly Urban/ Urban
167,0,66,77822,241812,16389,1,1,74,Private,2,0,Highly Urban/ Urban
168,0,50,79877,247661,16413,1,1,50,Private,11,0,Highly Urban/ Urban
169,0,37,960,10316,769,1,1,72,Private,3,0,Highly Urban/ Urban
170,0,57,18853,63200,4732,0,0,97,Private,11,1,Highly Urban/ Urban
171,0,50,72897,221172,14889,1,1,73,Commercial,2,0,Highly Urban/ Urban
172,0,41,158197,479312,32594,0,0,90,Private,0,0,Highly Urban/ Urban
173,0,48,5882,26569,1839,1,0,77,Commercial,3,0,Highly Urban/ Urban
174,0,42,61010,185098,12817,0,0,76,Private,2,1,Highly Urban/ Urban
175,0,36,97826,302416,20245,0,0,66,Commercial,2,0,Highly Urban/ Urban
176,0,59,73927,226167,15456,0,1,81,Private,4,0,Highly Urban/ Urban
177,0,64,6912,26619,1675,1,1,67,Commercial,2,0,Highly Urban/ Urban
178,0,42,51835,157109,10440,1,0,68,Commercial,3,0,Highly Urban/ Urban
179,0,42,62996,191944,13535,1,1,50,Commercial,9,1,Highly Urban/ Urban
180,0,80,41088,126819,9028,1,0,99,Commercial,6,1,Highly Urban/ Urban
181,0,76,76006,233174,15568,1,1,101,Commercial,8,1,Highly Urban/ Urban
182,0,55,40160,127114,8493,0,0,82,Private,5,1,Highly Urban/ Urban
183,0,63,76683,235029,15736,1,0,82,Private,0,0,Highly Urban/ Urban
184,0,64,187992,572986,38580,1,1,80,Private,6,0,Highly Urban/ Urban
185,0,84,560,9627,635,1,0,56,Private,7,1,Highly Urban/ Urban
186,0,68,11577,37876,2910,1,1,59,Commercial,2,1,Highly Urban/ Urban
187,0,47,960,5584,493,1,0,55,Commercial,7,1,Highly Urban/ Urban
188,0,62,46784,145447,9508,1,1,90,Commercial,4,1,Highly Urban/ Urban
189,0,66,93237,287168,18874,0,0,50,Private,4,0,Highly Urban/ Urban
190,0,59,67524,204070,13955,0,1,92,Private,3,0,Highly Urban/ Urban
191,0,63,560,4897,301,0,1,81,Commercial,2,0,Highly Rural/ Rural
192,0,59,35170,111690,7401,1,1,79,Private,0,1,Highly Urban/ Urban
193,0,56,29214,91817,6534,0,1,67,Commercial,5,0,Highly Rural/ Rural
194,0,64,46878,144562,10322,1,0,97,Private,2,0,Highly Urban/ Urban
195,0,60,107790,331128,21645,0,1,73,Private,2,0,Highly Urban/ Urban
196,0,42,16209,49792,3884,1,0,107,Private,5,0,Highly Urban/ Urban
197,0,62,96116,288959,19846,1,1,115,Commercial,0,0,Highly Urban/ Urban
198,0,66,37464,113453,7619,1,1,75,Commercial,0,0,Highly Urban/ Urban
199,0,68,53630,162169,10824,0,1,81,Commercial,5,1,Highly Urban/ Urban
200,0,50,127155,385442,26005,0,1,97,Private,2,0,Highly Urban/ Urban
201,0,52,100919,310061,20822,0,0,58,Private,3,1,Highly Urban/ Urban
202,0,23,62750,190315,13492,0,1,77,Commercial,2,1,Highly Urban/ Urban
203,0,76,34667,107635,7864,0,0,85,Commercial,2,0,Highly Rural/ Rural
204,0,14,69793,209846,14845,1,0,80,Commercial,3,0,Highly Urban/ Urban
205,0,67,29552,93460,5923,1,1,76,Commercial,6,1,Highly Urban/ Urban
206,0,52,82007,250696,16633,1,1,81,Commercial,0,0,Highly Rural/ Rural
207,0,38,41055,124976,8930,0,1,83,Commercial,6,1,Highly Urban/ Urban
208,0,73,88432,266445,18030,1,1,66,Private,2,0,Highly Urban/ Urban
209,1,58,52983,166663,10746,1,0,75,Private,4,1,Highly Urban/ Urban
210,0,43,1360,9574,339,1,0,62,Private,2,0,Highly Urban/ Urban
211,0,32,81557,245597,16328,0,1,92,Commercial,2,0,Highly Urban/ Urban
212,1,54,55119,173066,11331,1,1,110,Private,3,0,Highly Rural/ Rural
213,0,34,56074,170108,11893,1,1,87,Commercial,1,0,Highly Urban/ Urban
214,0,59,38316,118680,8555,1,1,108,Commercial,9,1,Highly Urban/ Urban
215,0,58,28901,93300,5877,1,1,90,Commercial,13,1,Highly Urban/ Urban
216,0,58,7177,24451,2419,1,0,72,Commercial,4,1,Highly Urban/ Urban
217,0,68,52835,164020,10577,1,1,102,Private,3,1,Highly Urban/ Urban
218,0,34,40982,123399,8348,0,0,112,Private,2,1,Highly Urban/ Urban
219,0,40,47413,148781,10432,1,1,92,Private,5,0,Highly Urban/ Urban
220,0,31,23859,76748,4977,0,1,64,Private,2,0,Highly Rural/ Rural
221,0,73,125510,384808,25909,1,1,82,Private,3,0,Highly Urban/ Urban
222,0,68,101782,311766,20902,1,1,50,Private,2,0,Highly Urban/ Urban
223,0,42,58023,178107,12090,0,0,91,Private,2,1,Highly Urban/ Urban
224,0,63,40267,121863,8113,1,1,74,Commercial,8,1,Highly Urban/ Urban
225,0,53,88122,265290,17737,0,1,71,Commercial,2,0,Highly Urban/ Urban
226,0,51,26118,81588,6057,1,1,56,Private,2,0,Highly Urban/ Urban
227,0,61,41012,131720,8485,1,1,70,Commercial,3,0,Highly Rural/ Rural
228,0,58,76710,232281,15479,1,1,84,Commercial,5,0,Highly Rural/ Rural
229,0,50,53429,167009,10931,0,1,66,Commercial,1,1,Highly Rural/ Rural
230,2,41,104447,317663,21720,1,1,73,Private,3,0,Highly Urban/ Urban
231,0,68,60757,187342,12398,1,0,80,Private,0,0,Highly Urban/ Urban
232,1,79,28585,93987,6610,1,0,77,Private,8,1,Highly Urban/ Urban
233,0,59,28900,94567,5899,0,1,65,Private,2,0,Highly Urban/ Urban
234,1,36,55258,174352,11119,1,0,66,Private,0,0,Highly Urban/ Urban
235,0,67,77972,238994,16508,1,1,67,Private,2,0,Highly Urban/ Urban
236,2,60,28886,95128,6530,1,0,82,Commercial,2,1,Highly Urban/ Urban
237,0,34,17645,55708,3779,1,0,103,Private,6,0,Highly Rural/ Rural
238,0,45,18105,60679,3860,0,1,91,Commercial,2,0,Highly Urban/ Urban
239,1,24,61057,185285,12791,1,0,85,Commercial,3,0,Highly Urban/ Urban
240,0,70,50187,152563,10595,1,1,94,Commercial,2,0,Highly Rural/ Rural
241,0,81,163974,497170,33191,1,0,80,Private,2,0,Highly Urban/ Urban
242,0,57,960,6584,245,1,0,75,Commercial,1,0,Highly Urban/ Urban
243,0,55,43095,131158,9191,1,1,67,Commercial,3,0,Highly Rural/ Rural
244,0,38,32235,99388,7237,1,0,70,Commercial,10,1,Highly Urban/ Urban
245,1,54,82634,249940,17201,1,1,84,Commercial,5,0,Highly Urban/ Urban
246,0,61,94218,291894,19154,1,1,78,Commercial,2,0,Highly Urban/ Urban
247,0,65,35218,109564,7803,1,1,76,Private,2,0,Highly Rural/ Rural
248,0,34,1360,8112,1065,0,0,50,Private,2,0,Highly Urban/ Urban
249,0,29,28629,88385,5905,1,1,90,Private,2,0,Highly Rural/ Rural
250,0,47,77686,240766,16143,1,1,50,Commercial,4,0,Highly Urban/ Urban
251,0,72,77512,234058,16296,1,0,71,Private,2,0,Highly Urban/ Urban
252,0,61,58016,177197,11816,1,1,77,Private,0,0,Highly Urban/ Urban
253,0,66,93601,282950,19059,1,1,68,Commercial,3,0,Highly Urban/ Urban
254,0,78,127660,392807,26144,1,0,81,Private,4,0,Highly Urban/ Urban
255,1,51,35476,111541,7177,0,0,70,Private,1,1,Highly Urban/ Urban
256,0,37,55492,171770,12039,1,1,82,Commercial,5,0,Highly Urban/ Urban
257,0,58,95151,291676,19369,0,1,66,Commercial,5,1,Highly Urban/ Urban
258,0,67,66425,205004,13842,0,1,87,Private,6,0,Highly Urban/ Urban
259,0,65,57809,179593,12120,0,1,98,Commercial,2,0,Highly Urban/ Urban
260,0,48,46761,148376,9957,1,1,78,Commercial,2,0,Highly Rural/ Rural
261,0,43,960,7692,314,0,0,77,Private,6,0,Highly Urban/ Urban
262,0,73,126622,389386,26136,0,0,66,Private,0,0,Highly Urban/ Urban
263,0,59,19495,67023,4638,1,0,92,Private,6,0,Highly Urban/ Urban
264,0,56,30462,97126,6494,1,0,75,Private,2,0,Highly Urban/ Urban
265,0,63,94663,290190,19408,1,1,75,Private,7,0,Highly Urban/ Urban
266,2,32,25822,77747,5622,0,0,71,Private,2,1,Highly Rural/ Rural
267,0,56,87956,271144,17597,1,1,77,Private,2,0,Highly Urban/ Urban
268,0,43,63023,196080,13247,1,0,82,Commercial,2,0,Highly Urban/ Urban
269,0,81,27121,81616,5882,1,1,102,Private,8,1,Highly Urban/ Urban
270,0,47,50184,155600,10612,1,1,74,Commercial,4,1,Highly Urban/ Urban
271,0,62,71253,217748,14943,1,0,79,Private,4,0,Highly Urban/ Urban
272,0,58,35279,115468,7919,1,0,93,Private,3,0,Highly Urban/ Urban
273,0,56,23583,74489,5107,1,1,60,Private,4,1,Highly Urban/ Urban
274,0,26,80675,250352,16965,0,0,51,Private,4,0,Highly Urban/ Urban
275,0,50,20921,69704,5129,1,0,81,Private,2,0,Highly Rural/ Rural
276,0,46,41720,127001,9332,0,1,69,Private,2,1,Highly Urban/ Urban
277,0,32,69053,215812,14074,0,1,67,Commercial,4,1,Highly Urban/ Urban
278,0,72,1238,9811,750,1,0,103,Commercial,2,0,Highly Urban/ Urban
279,0,59,138371,423933,28383,0,1,67,Commercial,2,0,Highly Urban/ Urban
280,0,35,29369,89157,6777,0,1,72,Commercial,5,0,Highly Rural/ Rural
281,0,46,26504,82203,5917,0,0,74,Private,2,1,Highly Urban/ Urban
282,1,51,85968,260520,17583,1,0,77,Commercial,2,1,Highly Urban/ Urban
283,0,52,95149,294216,19776,1,1,53,Private,4,1,Highly Urban/ Urban
284,0,58,117023,356499,23665,0,1,93,Commercial,3,0,Highly Urban/ Urban
285,0,47,59472,180442,12636,0,1,79,Private,4,0,Highly Rural/ Rural
286,0,59,67532,204216,13887,0,1,62,Private,0,0,Highly Urban/ Urban
287,0,40,51497,159960,10740,1,0,84,Commercial,4,1,Highly Urban/ Urban
288,0,41,84529,260179,17014,1,1,68,Private,4,0,Highly Urban/ Urban
289,0,54,75957,231699,15818,1,1,70,Commercial,2,0,Highly Rural/ Rural
290,1,45,17115,55816,4379,1,0,77,Commercial,4,0,Highly Rural/ Rural
291,0,37,20884,70782,4727,1,0,65,Private,0,0,Highly Rural/ Rural
292,0,61,5980,26667,2135,0,1,74,Private,3,0,Highly Rural/ Rural
293,0,50,110746,333386,22778,1,0,80,Private,2,0,Highly Urban/ Urban
294,2,51,160052,486535,32734,1,1,74,Private,0,0,Highly Rural/ Rural
295,0,43,54855,168226,11419,1,1,89,Commercial,0,1,Highly Urban/ Urban
296,0,62,61533,188392,12315,0,0,101,Commercial,3,1,Highly Urban/ Urban
297,0,40,86691,268121,17624,0,0,58,Commercial,1,1,Highly Urban/ Urban
298,0,41,35663,114990,7295,0,1,76,Commercial,2,0,Highly Urban/ Urban
299,0,49,560,10513,352,1,1,80,Commercial,2,1,Highly Rural/ Rural
300,1,46,14726,53253,3651,0,0,81,Private,5,1,Highly Urban/ Urban
301,0,62,37806,115692,7852,1,1,110,Private,3,0,Highly Urban/ Urban
302,0,32,1360,5308,502,1,0,93,Private,9,1,Highly Urban/ Urban
303,0,35,165767,500199,33256,0,1,67,Private,2,0,Highly Urban/ Urban
304,2,41,960,8908,773,1,0,73,Private,5,1,Highly Urban/ Urban
305,0,81,960,3419,492,1,1,74,Commercial,12,0,Highly Rural/ Rural
306,0,62,560,11548,811,0,0,98,Commercial,2,0,Highly Rural/ Rural
307,1,76,1360,8132,327,1,1,74,Private,5,1,Highly Urban/ Urban
308,0,59,92181,281085,19249,1,0,76,Commercial,4,1,Highly Urban/ Urban
309,0,54,6595,24006,1774,0,1,74,Private,8,0,Highly Urban/ Urban
310,0,54,9860,30517,2122,1,0,110,Private,3,0,Highly Rural/ Rural
311,0,45,47795,151198,10211,0,1,72,Private,4,1,Highly Urban/ Urban
312,0,57,27979,85448,6020,0,0,104,Private,3,0,Highly Rural/ Rural
313,0,24,30997,100686,6568,1,1,50,Private,5,0,Highly Urban/ Urban
314,0,44,65380,203190,13741,0,0,87,Private,3,0,Highly Urban/ Urban
315,0,25,109372,330957,21929,0,1,92,Private,4,0,Highly Urban/ Urban
316,0,54,95042,290016,19309,1,1,102,Private,2,0,Highly Urban/ Urban
317,0,57,55365,169605,11204,1,0,91,Commercial,0,0,Highly Rural/ Rural
318,0,57,27708,86456,6274,0,1,70,Commercial,4,0,Highly Urban/ Urban
319,0,60,89651,272400,18904,1,1,85,Private,4,0,Highly Urban/ Urban
320,0,50,105612,320740,21840,1,1,70,Commercial,2,0,Highly Urban/ Urban
321,1,75,4232,18833,1722,1,1,87,Private,2,1,Highly Urban/ Urban
322,0,62,59393,185321,11909,1,1,86,Commercial,4,1,Highly Urban/ Urban
323,1,63,33886,102385,7095,1,0,83,Private,0,0,Highly Urban/ Urban
324,1,61,14547,50227,3747,1,0,88,Private,2,0,Highly Rural/ Rural
325,3,60,25557,82367,5278,0,0,89,Commercial,2,0,Highly Rural/ Rural
326,0,25,112143,340981,23039,0,0,112,Private,4,0,Highly Urban/ Urban
327,0,64,66426,199779,13794,1,1,69,Commercial,4,0,Highly Urban/ Urban
328,0,64,49826,151218,10419,1,0,81,Private,2,0,Highly Urban/ Urban
329,0,76,64450,194641,13353,1,0,86,Private,0,1,Highly Urban/ Urban
330,0,59,6213,26454,1500,0,0,68,Commercial,2,1,Highly Urban/ Urban
331,0,57,91618,283756,18990,0,0,52,Commercial,2,0,Highly Urban/ Urban
332,0,52,560,8915,132,0,0,76,Private,1,0,Highly Urban/ Urban
333,1,61,46308,146445,9339,1,0,61,Private,3,0,Highly Urban/ Urban
334,1,50,46744,149062,10082,1,1,124,Commercial,0,0,Highly Urban/ Urban
335,0,55,48934,147181,10684,1,1,93,Commercial,0,1,Highly Urban/ Urban
336,0,47,71642,219834,14485,1,0,70,Commercial,5,0,Highly Urban/ Urban
337,0,47,65480,197956,13801,0,1,66,Commercial,8,0,Highly Urban/ Urban
338,0,65,31755,102955,6568,1,1,98,Commercial,0,0,Highly Rural/ Rural
339,0,48,188708,570713,37744,0,0,64,Private,0,0,Highly Urban/ Urban
340,0,29,20376,70956,4508,1,1,82,Private,2,0,Highly Rural/ Rural
